BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,"Further searches are urgently required. Removal of alien invasive trees, particularly <em>Acacia mearnsii</em>, should continue. Translocation to a protected area should be considered as this species is highly threatened and currently does not occur in a protected area. Research into population numbers and range, and trends/monitoring of the species would be valuable.","Shallow, clear, rocky streams and rivers with wooded banks.",Missing,"The current population size is estimated to be at less than 1,000 (per generation) and declining. At the two known sites, population levels are low, numbering no more than 30 or so individuals (Samways 2006 in press). However, it is suspected that other populations exist in the area but have to be discovered, hence it is estimate of less than 1,000.",Decreasing,The species is endemic to South Africa. It was formerly known from a few isolated localities in the Amatola-Winterberg region of the eastern Cape. Today it is only known from two sites on the Kubusi River in the vicinity of Stutterheim.,01/04/2007,3.1,,true,EN,"A2c; B1ab(i,ii,iii)+2ab(i,ii,iii)",false,false,,<em>Metacnemis valida</em> was never widespread and now has disappeared from some of its former known sites (Pinhey 1984). It is now known from only two sites which are not within any protected areas and are threatened by ongoing habitat loss and degradation. The population decline seen in recent years is expected to continue. Both the extent of occurrence and area of occupancy are less than 200 km². It is therefore assessed as Endangered.,Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"There are multiple synergistic threats to this species, including loss of habitat principally through cattle farming, alien invasive trees shading the habitat (especially <em>Acacia mearnsii</em>), pollution of the Kubusi River due to domestic run-off and siltation of the stream. The introduced rainbow trout (<em>Onycorhynchus mykiss</em>) may also be a threat.",,42840
Afrotropical,"This species is not known to occur within any protected areas. More searches are required to discover further subpopulations, especially in reserves. Fencing off portions of the riverbank is recommended. Translocation to a reserve is also a consideration. Removal of alien invasive trees has greatly benefited this species, as the 2001 Mpumalanga site was formerly invaded by <em>Acacia mearnsii</em>. Indeed, it is only known from this restored site.","Fine grasses and reeds lining swift, clear, upland rivers (Samways 2006 in press).",Missing,"Population size is estimated to be around 2,000 (per generation) and currently stable.",Stable,"This species is endemic to South Africa. The type series is from Nqutu, KwaZulu-Natal (Pinhey 1962) but the species has not been rediscovered in the area. This area is now heavily grazed by livestock. Prior to 1962, there are isolated records from the Western Cape, eastern Cape and KwaZulu-Natal, although the Cape records are doubtful taxonomically. After intensive searches over many years, the species was only rediscovered (at 1,300 m asl) in January 2001, in Mpumalanga by M.J. Samways.",01/04/2007,3.1,,true,VU,D2,false,false,,"<em>Pseudagrion newtoni</em> is known from only a few specimens. It is currently known to exist in only one location, where it is abundant, and it is expected to occur elsewhere in the area because extensive alien invasive tree removal is underway to improve habitat there. It is clear that the population has suffered a severe decline in the recent past. In addition to the species' natural rarity, its specialized riparian habitat (tall grasses) is under threat from increasing pressure from domestic livestock (especially cattle) visiting the water's edge. Not listed as Endangered because it occurs in a type of general habitat that is very extensive and has not been fully explored and because the removal of alien trees has an extremely beneficial effect on this species; there is a trade-off between improvement of habitat by tree removal and deterioration through overgrazing. It is assessed as Vulnerable based on its restricted range.",Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"With more extensive and intensive livestock pressure, the grasses on the banks of rivers have become increasingly cropped and trampled. This may be synergistic with other impacts such as the growth of alien invasive riparian vegetation. The type locality is highly threatened as a result of the above factors. However, the population appears to be stabilized and it is also suspected that it is present at other localities, where it has not yet been discovered.",,42843
Afrotropical,"Currently it occurs in the Limietberge National Reserve. Searches for <em>C. triceraticus</em> must continue, to establish whether it exists in more protected areas. Ongoing removal of alien trees is likely to be of great benefit to this species. Research into population numbers and range, biology and ecology, habitat status, threats, and trends/monitoring would be valuable.","Pools in streams, and occasionally in reservoirs. Rocky, shallow rivers, with deposition pools, and possibly farm dams (Samways 2006).",Missing,Current population size is not known.,Unknown,"This endemic South African species has a wide range throughout the Western Cape (Pinhey 1984b). It was discovered in 1962 (Balinsky 1963) and very few specimens are known. As it is a large and conspicuous insect, and is not easily overlooked, it must be extremely scarce. Despite many revisits to the type locality, near Franschhoek, the species has not been rediscovered there, although it has recently been discovered in the Cedarberg and Bainskloof, where invasive trees have been cleared. Its extent of occurrence is less than 20,000 km² and area of occupancy is less than 2,000 km².",01/04/2007,3.1,,true,VU,"A2ab; B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",false,false,,"<em>Ceratogomphus triceraticus</em> is endemic to South Africa and known from very few specimens. Habitat has deteriorated markedly, especially the type locality near Franschhoek. However, the national removal of alien riparian trees is beneficial for this species, which was recorded at Bainskloof in 2004. Its status appears to have stabilized, but the species remains in the Vulnerable category until this can be certain.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"This species faces many threats, which are probably synergistic, including a severe alien invasive tree problem, and loss of habitat to the wine industry and, to a lesser extent, cattle farming and plantation forestry. Over-extraction of water from streams and possibly pollution from the wine industry are increasing threats. Alien invasive trout may also be a problem.",,42845
Afrotropical,Much of the population occurs within protected areas. Invasive trees are being removed. No additional measures are currently required for this species.,"Clear, high montane streams (higher than 1,700 m asl) with an abundance of fringing grasses, herbs and bushes.",Missing,"The population is probably at least 10,000 individuals and stable.",Stable,"This species is now known to be widespread throughout high elevation (higher than 1,700 m asl) in Lesotho, South African Drakensberg Mountains.",01/04/2007,3.1,,true,LC,,false,false,,"In 1996, <em>Chlorolestes draconicus</em> was assessed as Lower Risk, Near Threatened (LR/nt). Since then, further subpopulations have been found, all in a large protected area of the Drakensberg. Also, the habitat is being improved through removal of alien pine trees through the ""Working for Water"" programme. Its distribution range is 20,000 km², population is estimated at greater than 12,000 and is now stable. Therefore, it is currently assessed as Least Concern.",Same category and criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"With proclamation of the transfrontier Drakensberg Park, a huge area is now protected which adequately conserves this species. Invasive pine trees were formerly a threat, but these are now being removed.",,4730
Afrotropical,"This species is not known from any protected areas. Surveys on further localities are urgently required. Removal of <em>Acacia mearnsii</em> should continue. Liaison with local farmers is essential so that cattle may enter streams at certain points only, fencing off other areas of the stream.","The species inhabits clear, shallow, rocky streams with riffles and glides and with an abundance of long grass, herbs and indigenous overhanging bushes (used as oviposition sites).",Missing,"It is estimated that no more than 1,000 adults (per generation) exist, and even this may be a generous estimate. Population trends are unknown.",Decreasing,"In 1975, this species was known from ten sites (Wilmot 1975), whereas in 2000 it was known from only two, showing a decline in extent of occurrence and area of occupancy, as well as decline in extent and quality of suitable habitat. It is currently known only from the Kubusi (near Stutterheim) and the Thorn River, eastern Cape, South Africa.",01/04/2007,3.1,,true,EN,"B2ab(i,ii,iii,iv)",false,false,,"<em>Chlorolestes apricans</em> qualifies for an Endangered assessment due to the small number and small size of subpopulations, several of which have been lost between 1975 (when the species was known from ten sites) and 2000 (when it was known only from two sites) through habitat loss and modification. The population is expected to decline over the next ten years if habitat loss and degradation continues. Current area of occupancy is less than 500 km² and there is continuing decline in range, habitat and population size. It is therefore listed as Endangered.",Same category but change in criteria,,,,No change,Terrestrial|Freshwater (=Inland waters),"Populations are severely threatened by cattle trampling stream banks and the synergistic effects of shading of the habitat by the alien invasive tree <em>Acacia mearnsii</em>. Further adverse synergistic effects include detergent entering the streams at Stutterheim, and possibly also the effects of direct predation from rainbow trout <em>Oncorhynchus mykiss</em>.",,4731
Afrotropical,No information available.,Swampy streams and pools.,Done,Current population size or trends are unknown.,Unknown,"Within southern Africa, this species occurs in the tropical north. It may occur in the Caprivi, but it has not yet been recorded here. Globally, it has been recorded from north Malawi, Tanzania, Uganda, Zimbabwe, Zambia and Mozambique. It is likely to also occur in Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Current threats are unknown, although drainage and destruction of swampy habitats are potential threats.",,59781
Afrotropical,No information available.,"Reedy pools, slow streams and rivers, and lake shores with dense aquatic vegetation.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in the northern part of the region southwards to coastal Natal. It does not occur in the arid southwest or in the Cape. Globally, it is widespread in tropical sub-Saharan Africa (except in rain forest areas) and in Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats in the region are unknown.,,59793
Afrotropical,No information available.,"Swampy streams, rivers, and pools.",Incomplete,No information is available on population size and trends.,Unknown,"In southern Africa, this species is widespread in Zambia and Zimbabwe. There are few records from South Africa. Globally, it is known from South Africa through Zambia and Zimbabwe to Tanzania and south DRC.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There is no information available on current threats to the species.,,59797
Afrotropical,No information is available.,Standing water in or near forest. In South Africa the species is confined to coastal swap (Samways 2006).,Incomplete,Current population size and trends are not known.,Unknown,"Within the southern Africa region, this species occurs in the tropical north and not in the arid southwest or at the Cape. So far it has not been recorded from Angola or Mozambique. This is most probably due to the species' crepuscular behaviour. In South Africa it is a highly localised species known only from Richards Bay (Pinhey 1985) and Sodwana Bay, but it is also likely to also occur at Kosi Bay (Samways 2006). Globally, the species has been recorded from Uganda, Malawi and north Botswana to West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a relatively wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Forest destruction is inferred to be a threat in parts of the species' range. Tree removal through urbanisation at Richards Bay and from small-farmer agriculture at Sodwana Bay threaten the population in South Africa (Samways 2006).,,59755
Afrotropical,No information available.,"Shady rivers and streams, occasionally shorelines of lakes.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread in perennial rivers in most of the region. Globally, it is widespread in Eastern and Southern Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. There may be no threats seriously affecting the species at present.,,59866
Afrotropical,"No specific conservation measures are known to be in place, and none are recommended at present.","Swamps, swampy pools and rivers.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in all countries, but is not found in the Cape, western parts of South Africa and southernmost parts of Namibia. Globally, it is widespread in sub-Saharan Africa, except in rain forest regions.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no known threats affecting this species.,,59800
Afrotropical,No specific conservation measures are known at present.,"Swampy habitats, particularly fringes of rivers and in river floodplains.",Incomplete,No information is available on current population size or trends. In South Africa (its southernmost range) the only two known populations are both small (Samways 2006 in press).,Unknown,"This species occurs in humid tropical parts of the southern Africa region. It has not yet been recorded from Angola, but is likely to be there. In South Africa, it currently is known only from two populations: Mtunzini and Umbogavango, in coastal KwaZulu-Natal (Samways 2006 in press). Globally, the species is recorded from Kenya to Namibia and South Africa, and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Current threats are unknown. However, it is unlikely to be seriously threatened across its whole range.",,59801
Afrotropical,Occurs in protected areas in parts of its range. No conservation measures are known to be in place or are planned at present.,"Streams and rivers in forest and woodland as well as in wet savanna regions. Locally abundant along the Kwando River in Namibia, where it flows through high reeds.",Incomplete,Locally abundant.,Unknown,"Within the southern Africa region, this species is known from all countries except for Lesotho and Swaziland. In South Africa, only three specimens are known, from Skukuza, Kruger National Park (Samways 2006 in press). Globally, the species has been recorded in Kenya, Tanzania, Botswana, Zambia, Zimbabwe, DRC, Angola, Namibia, Mozambique and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known across most of its range.,,59871
Afrotropical,No information available.,Swamps.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in the eastern part of the region, from Natal to Zambia and Mozambique. Globally, it is recorded from South Africa (Natal) to Tanzania. It has not been recorded in Malawi.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown.,,59805
Afrotropical,"No information available, but research and site management are needed.",Nothing is known about the larval habitat. Occurs in either streams and rivers and/or swamps in woodland or forest.,Incomplete,Current population size and trends are unknown.,Unknown,"In southern Africa, this species is known from Mozambique, South Africa, Zimbabwe and Zambia. Its inferred occurrence in Angola is currently unproven (no localities are known). Globally, the species is recorded from South Africa to Ethiopia and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region, its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats to the species are unknown.,,59809
Afrotropical|Palearctic,No specific conservation measures are known to be in place and none are needed at present.,"Open, shallow or temporary pools and lakes. The species migrates in large aggregations and often over vast distances, e.g., up to Iceland. It regularly enters deserts and breeds in temporary pools (Corbet 1999, Suhling <span style=""font-style: italic;"">et al</span>. 2003).",Incomplete,"Current population size and trends are not known. However, it is widespread and the population both within and outside the region is expected to be large.",Unknown,"In southern Africa, this species is widespread, occurring in all countries. Globally, it is widespread throughout Africa and deep into Eurasia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no know current threats to the species.,,59811
Afrotropical|Palearctic,No conservation measures are currently in place or are recommended.,"This is a very adaptable species, occurring in all kinds of freshwater habitats.",Incomplete,"Current population size and trends are not known. However, it is widespread and the population both within and outside the region is expected to be large.",Unknown,"In southern Africa, this species is widespread and common in all countries. Globally, it is widespread in Africa and Eurasia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No threats are currently known.,,59812
Afrotropical,No information available.,Streams and rivers.,Incomplete,Current population size and trends are unknown.,Unknown,"In southern Africa, this species is widespread along the escarpment areas and in mountain regions. It does not occur in the Kalahari sands. Confirmed occurrence in Angola, Mozambique, Namibia, South Africa, Swaziland, Zambia and Zimbabwe. It is inferred to also occur in Botswana. Globally, the species is widespread from South Africa to southern Arabia and western Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Water extraction from stream habitats occurs.,,59813
Afrotropical,No information available.,Open pools and swamps. Often found in temporary rainpools.,Incomplete,Current population size and trends are unknown.,Unknown,"In southern Africa, this species is common and widespread in the tropical parts of all countries. There are no records from southern parts of South Africa, Namibia and Botswana. Globally, it is widespread throughout tropical Africa and Madagascar.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no current threats known or expected.,,59814
Afrotropical,No conservation measures are known to be in place or are recommended at present.,"Swampy habitats in bush, woodland or forest.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the tropical parts of the region, ranging south to Natal. It does not occur in the arid southwest or the Cape. Globally, it is widespread in tropical sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No major threats; locally introduced sticky grasses (<em>Setaria</em>) may affect the population.,,59893
